State code,State DOT,Resilience definition,Risk definition / method,Criticality definition / method,Vulnerability definition / method,Risk scoring matrix / formula,Criticality scoring matrix,Vulnerability scoring matrix,Project prioritization scoring matrix,Matrix source pages
CA,California / Caltrans,No formal resilience definition found in the downloaded PDF.,"Adaptation Priorities Reports (APRs) rank exposed State Highway System assets using prioritization scores. SCRIPT says scores consider timing of climate impacts, severity/span, asset condition as sensitivity, number of users affected, and network redundancy; district/local knowledge can adjust rankings. STCAP/LTCAP project funding additionally considers recurring damage/failure risk, mobility/economy/safety benefits, community/environment/critical-infrastructure benefits, equity, and secondary GHG/VMT co-benefits. Prioritization scores/rankings; exact numeric scale not disclosed in SCRIPT.","Used as part of APR prioritization through network redundancy and regional/statewide mobility, economy, goods movement, safety, adjacent communities, environment, and critical infrastructure benefits. No single criticality formula is disclosed in SCRIPT.","Vulnerability comes from Caltrans Climate Change Vulnerability Assessments and APRs. APR prioritization adds timing, severity/span, asset condition as sensitivity, users affected, redundancy, and local knowledge.",APR prioritization score. Matrix/weights not disclosed in SCRIPT. Factors listed: climate impact timing; severity/span; asset condition as sensitivity; number of system users affected; network redundancy. Scores rank potentially exposed assets.,"No standalone criticality matrix found. Criticality-like criteria include users affected, redundancy, regional/statewide mobility/economy/goods movement/safety benefits, adjacent communities, environment, critical infrastructure.","Climate Change Vulnerability Assessments identify exposure to sea level rise, storm surge, cliff retreat, wildfire, precipitation, temperature. APRs add risk metrics on top of vulnerability.",STCAP/LTCAP screening: APR or Cal-Adapt vulnerability; recurring damage/failure risk; mobility/economy/safety benefits; community/environment/critical infrastructure benefits; equity; GHG/VMT co-benefits; permitting/policy/schedule alignment.,"CA pp.29,31-32"
CO,Colorado / CDOT,"The State of Colorado defines resilience as ?the ability of communities to rebound, positively adapt to, or thrive amidst changing conditions or challenges?including human-caused and natural disasters?and to maintain quality of life, healthy growth, durable systems, economic vitality, and conservation of resources for present and future generations.?","CDOT scores risk as Risk Score = T x C x V. T is threat likelihood/probability, C is consequence of impact, and V is vulnerability/probability that the estimated consequence is realized. Threats and risk scores are updated every four years with the TAMP cycle or as needed. T is scored 1-5; C and V use scoring rubrics referenced in Section 7.1. Product gives risk score.","Criticality reflects the importance of each transportation asset to statewide system operations and resilience. CDOT criticality map uses AADT, redundancy/alternate routes, roadway classification, freight value, social vulnerability index, and tourism value.","Vulnerability is the probability that the anticipated consequence of a threat is realized. In CDOT risk formula, V is multiplied with threat likelihood and consequence.",Risk Score = T x C x V. T = threat likelihood/probability; C = consequences/consideration of risk event; V = vulnerability/probability consequence is realized. T scored 1-5 by frequency/expert judgment; C and V use rubrics referenced in Section 7.1.,Criticality map criteria: AADT; redundancy/alternate routes; roadway classification; freight value; social vulnerability index; tourism value. Outputs High/Medium/Low criticality.,"Vulnerability is probability that estimated consequence will be realized; also FHWA-style asset vulnerability considers exposure, likelihood of damage/compromise, and adaptive capacity.",10-Year Plan sketch analysis overlays project locations with criticality GIS; high/medium/low criticality used to identify high-opportunity resilience projects.,"CO pp.15,24-25,41"
CT,Connecticut / CTDOT,"The ability to anticipate, prepare for, and adapt to changing conditions and withstand, respond to, and recover rapidly from disruptions.","CTDOT is developing a FHWA VAST-based vulnerability assessment. The plan identifies exposure, sensitivity, and adaptive capacity as the indicator types, but Step 4 Assess Vulnerability is still ongoing/refining. No final scoring scale or formula published in the RIP excerpt; VAST-based model under development.","Criticality is not finalized as a standalone score in the downloaded RIP. CTDOT is developing a VAST-based vulnerability assessment using asset data, surrounding communities, exposure, sensitivity, and adaptive capacity.","Vulnerability is the predisposition of assets to be adversely affected by natural hazards. CTDOT uses exposure, sensitivity, and adaptive capacity as VAST indicator types; assessment is still being refined.",No final risk scoring matrix found. CTDOT states Vulnerability Assessment is ongoing and VAST-based.,No final criticality matrix found in downloaded RIP.,"Planned VAST indicator types: exposure, sensitivity, adaptive capacity. Asset data include location, condition, characteristics, surrounding community. Quantitative/qualitative validation ongoing.","PROTECT eligible project screening process exists, but no point matrix/weights found in downloaded RIP.","CT pp.18-20,58-59"
DE,Delaware / DelDOT,"Resilience or resiliency is the ability to anticipate, prepare for, and adapt to changing conditions and withstand, respond to, and recover rapidly from disruptions.","DelDOT first used maintenance-district input to identify frequently flooded roadways, then applied a weighted prioritization matrix. It is moving to quantitative annual-risk modeling for bridges and pavement vulnerable to rainfall and sunny-day flooding. Frequently Flooded Roadways matrix: Flood History 50 pts; Flood Data 25 pts; Infrastructure/Traffic 15 pts; Community 10 pts. Subfactors are equally weighted within categories as listed. Quant model outputs risk for assets/corridors.","Criticality/prioritization factors include evacuation routes, essential facilities, AADT/traffic counts, DTC ridership, community size, employment density, equity, project readiness, bundling, and recent capital work.",Frequently flooded roadway risk assessment identifies vulnerable flood-prone roadway segments; future quantitative model assesses annual risk for bridge/pavement assets vulnerable to flooding.,"Frequently Flooded Roadways matrix total 100 pts: Flood History 50; Flood Data 25; Infrastructure/Traffic 15; Community 10. Flood History: frequently flooded roadways 50%, UD inundation study 50%. Flood Data: FEMA floodplain 25%, sea level rise 25%, NOAA flood frequency 25%, major river 25%. Infrastructure/Traffic: traffic count 33%, road rating 33%, essential routes 33%. Community: equity focus area, essential facility, community size, employment density, DTC ridership, each 20%.",Investment criticality factors: evacuation routes; roads serving hospitals/emergency response/evacuation shelters/DelDOT yards; AADT; DTC ridership; community size; employment density.,"Quantitative model under development for annual risk to bridges and pavement vulnerable to rainfall/sunny-day flooding. Factors: owner costs, user costs, probability of threats including embankment erodibility, roadway flooding, bridge flooding, debris potential.","Prioritized risk ranking is combined with equity, criticality, evacuation needs, redundancy, readiness, bundling, recent work/timeliness, and project-readiness logic checks.","DE pp.27-32,41"
FL,Florida / FDOT,No formal resilience definition found in the downloaded PDF.,"Downloaded FDOT file is a Community Engagement Plan for resilience activities, not the RIP methodology. It discusses identifying vulnerabilities and resilience-related plans/projects but does not define a scoring formula. No scoring scale found in downloaded PDF.",No criticality scoring method found in the downloaded Community Engagement Plan.,No vulnerability scoring method found in the downloaded Community Engagement Plan.,No risk scoring matrix found in downloaded Community Engagement Plan.,No criticality scoring matrix found in downloaded Community Engagement Plan.,No vulnerability scoring matrix found; document only mentions identifying vulnerabilities generally.,No project scoring matrix found in downloaded PDF.,FL pp.1-4
IA,Iowa / Iowa DOT,"The Iowa DOT defines resiliency as the ability to anticipate, prepare for, and adapt to changing conditions and withstand, respond to, and quickly recover from disruptions.",Iowa DOT RWG prioritized natural hazards using a risk-based assessment: risk/vulnerability = likelihood x consequence. Lower likelihood values mean rare events; higher values mean higher probability. Lower consequence values mean lower transportation-system impact; higher values mean significant damage. Hazards grouped into three tiers by risk scores and preferred mitigation approach. Exact numeric scale for likelihood/consequence is shown in matrix/table but not fully extracted as text.,Project-level prioritization ranks projects by how critical the project location is to the system and by cost effectiveness. The exact criticality formula is not published in the extracted RIP text.,Hazard vulnerability/risk is calculated by multiplying likelihood and consequence. Project screening identifies vulnerabilities and associated hazards before prioritization.,Hazard risk/vulnerability = Likelihood x Consequence. Lower likelihood = rare; higher likelihood = higher probability. Lower consequence = lower system impact; higher consequence = significant damage. Hazards grouped into Tier 1/2/3 based on risk scores and preferred mitigation methods.,Project prioritization includes how critical the project location is for the system; exact point matrix not disclosed in extracted text.,Same hazard matrix: likelihood x consequence. Project screening first identifies which vulnerabilities/hazards exist and whether activity is PROTECT eligible.,Project selection: annual district solicitation; screening for vulnerabilities and PROTECT eligibility; prioritization by location criticality and cost effectiveness; composite ranking reviewed by RWG and Program Team.,"IA pp.38-39,53,62"
KY,Kentucky / KYTC,"Transportation resilience, defined by the Federal Highway Administration (FHWA) as the ability to anticipate, prepare for, and adapt to changing conditions and withstand, respond to, and recover rapidly from disruptions, is an important component of KYTC?s mission.","KYTC describes a hybrid risk-based vulnerability assessment: data analysis, district workshops, and GIS compilation. A risk matrix considers likelihood and severity/consequence. Appendix uses FHWA VAST: exposure, sensitivity, and adaptive capacity indicators produce vulnerability scores. Likelihood is 1-5. VAST indicator scores are 1-4; exposure/sensitivity high score = more exposure/sensitivity; adaptive capacity high score = less capacity. Exposure/sensitivity/adaptive capacity default weights are 33% each; final vulnerability score is 1-4, higher = more vulnerable.","Criticality is treated within VAST adaptive capacity/asset criticality inputs such as AADT, functional class, asset replacement value, and detour route viability.","VAST vulnerability score combines exposure, sensitivity, and adaptive capacity. Indicator scores are 1-4; final vulnerability score is 1-4 where higher means more vulnerable.","Risk matrix considers likelihood and severity/consequence by KYTC district. Likelihood scale 1-5: text shows 1 = Very Likely / occurs repeatedly across wide area, 2 = Likely / occurs more than once to multiple assets, etc. Full matrix in plan section.","VAST adaptive capacity/criticality inputs may include AADT, functional class, asset replacement value, detour route viability.","FHWA VAST: each indicator score 1-4. Exposure and sensitivity: low score = less exposed/sensitive, high score = more. Adaptive capacity: low score = better adaptive capacity, high score = less. Indicator datasets can be weighted; exposure/sensitivity/adaptive capacity default contribution = 33% each. Output vulnerability score 1-4, higher = higher vulnerability.",Assets with vulnerability score >=3.5 are highlighted as high-vulnerability by district/hazard; GIS database supports ranking/maps.,"KY pp.19,53"
MD,Maryland / MDOT,No formal resilience definition found in the downloaded PDF.,"MDOT uses MDEM hazard probability ratings and modal vulnerability assessments. SHA scored roadway assets for threats such as storm surge and sea-level rise. MDOT is moving toward quantitative asset-level risk assessments using asset location, condition/design parameters, and threat likelihood. MDEM hazard probability rating: 1 unlikely (< once/30 years), 2 likely (< once/5 years but > once/30 years), 3 highly likely (> once/5 years). Pilot annual risk cost = owner risk from asset failure/repair + user risk from rerouting.","Criticality appears in MDOT/SHA pilot through system criticality mapping, considering system redundancy, demand, social vulnerability, and other operations-lens factors.","MDOT modal vulnerability assessments score assets by threats such as storm surge and sea-level rise. Future quantitative assessments use asset location, condition/design, threat likelihood, and maintenance records.","Hazard probability matrix from MDEM: 1 = Unlikely, less than once every 30 years; 2 = Likely, less than once every 5 years but more often than once every 30 years; 3 = Highly Likely, more than once every 5 years. Pilot quantitative risk uses annual risk cost = owner risk + user risk.","SHA pilot system criticality map considers system redundancy, demand, social vulnerability, and other operations-lens factors. No statewide point matrix in TRIP.","Modal vulnerability assessments; SHA scored roadway assets for storm surge, sea-level rise, precipitation change. Future model uses asset location, condition, design parameters, threat likelihood, FIRM, maintenance records.",Prioritization intended to use annualized risk with social/economic/financial impacts; implementation-ready/immediate-benefit projects prioritized for early PROTECT funds.,"MD pp.11-12,27,29,32"
MI,Michigan / MDOT,No formal resilience definition found in the downloaded PDF.,"Michigan calculates risk from exposure, sensitivity, and criticality. Formula: Risk = (Criticality Score x 25%) + ((Exposure x 75% + Sensitivity x 25%) x 75%). Vulnerability is the exposure/sensitivity component and contributes 75% of total risk. Each asset score is 1-4. High risk = 3-4; medium = 2-2.99; low = 1-1.99. Exposure and sensitivity tables use percentile/natural-break values and hazard-specific weights.","Criticality score is one of three risk components and contributes 25% of total risk. Indicators include AADT, truck AADT, functional class, NHS status, and CEJEST disadvantaged communities.","Vulnerability is the exposure/sensitivity component of risk: Exposure 75% + Sensitivity 25%, then vulnerability contributes 75% of total risk score.","Risk = (Criticality Score x 25%) + (((Exposure x 75%) + (Sensitivity x 25%)) x 75%). Criticality = 25% of overall risk; vulnerability = 75% of overall risk. Within vulnerability, exposure = 75%, sensitivity = 25%.","Criticality indicators: AADT, truck AADT, functional class, National Highway System, CEJEST disadvantaged communities. Highest 25th percentile generally scores most critical. Criticality score 1-4.","Each asset gets exposure, sensitivity, criticality scores from 1-4. Overall risk categories: High 3-4; Medium 2-2.99; Low 1-1.99. Exposure/sensitivity tables use hazard-specific weights; examples include heat exposure: impervious surface 25%, change in days >90F 25%, heat severity 50%; roadway flood sensitivity: pavement condition good/none=1, fair=2.5, poor=4.",High-risk asset counts and factor-level results support project implementation prioritization by asset type and hazard.,"MI pp.21,24-25,74,80"
MN,Minnesota / MnDOT,No formal resilience definition found in the downloaded PDF.,"MnDOT combines asset-level climate hazard exposure with potential traveler impacts to create climate risk scores for roads, bridges/large culverts, and slopes. Climate risk score categories: Very Low, Low, Medium, High, Very High. Exact numeric calculation not disclosed in main text; Appendix B contains method details.","Traveler impact is a proxy for consequence/criticality, using federal functional classification as a relative estimate of travelers impacted and network density as redundancy/detour proxy.",Asset-level climate hazard exposure is combined with traveler impacts to produce climate risk scores; hydraulic capacity is not included in the climate risk score.,"Climate risk score = asset-level climate hazard exposure combined with potential traveler impacts. Categories shown as Very Low, Low, Medium, High, Very High. Exact numeric matrix not disclosed in main text.",Traveler impacts: federal functional classification as proxy for number of travelers impacted; network density as proxy for redundancy/detour options.,Asset hazard exposure across timeframe/emissions scenarios; hydraulic capacity not included in climate risk score. Vulnerability assessment is high-level and planning-oriented.,Districts/ATPs select PROTECT Formula projects using RIP guidance and regional priorities; no statewide point matrix disclosed in main text.,"MN pp.29-30,48,51"
MS,Mississippi / MDOT,Community Vulnerability Definition: The FEMA defines community resilience as a community?s ability to: ? Prepare for anticipated natural hazards ? Adapt to changing conditions ? Withstand and recover rapidly from disruptions.,"Mississippi builds a statewide Vulnerability Index using FEMA NRI and other datasets, plus an Asset Criticality Index. Community vulnerability is scored by inverting BRIC resilience category scores; FEMA NRI hazards use 0-5 risk categories. FEMA NRI: 5 very high, 4 relatively high, 3 relatively moderate, 2 relatively low, 1 very low, 0 no concern/no data. BRIC six categories: upper half = 0, lower half = 1, summed to community vulnerability 1-5. Dam index weights density and hazard class, with high-hazard dams weighted most.","Asset Criticality Index incorporates the Vulnerability Index, Tier I/Tier II freight networks, and Intermodal Connectors. Detailed full formula not found in selected pages.",Statewide Vulnerability Index uses FEMA NRI and related datasets. Community vulnerability inverts BRIC resilience categories and sums six category scores; FEMA NRI risks use 0-5 categories.,FEMA NRI risk scale used for many hazards: 5 = Very High; 4 = Relatively High; 3 = Relatively Moderate; 2 = Relatively Low; 1 = Very Low; 0 = No Concerns/No Data. Points assigned to census tracts based on NRI.,"Asset Criticality Index incorporates Vulnerability Index, Tier I/Tier II freight networks, and Intermodal Connectors. Full criticality point matrix not found in selected pages.","Community vulnerability BRIC matrix: six BRIC categories each split upper/lower half; upper half/more resilient = 0, lower half/less resilient = 1; sum six category scores. Community Vulnerability Score categories 5 Very High, 4 Relatively High, 3 Relatively Moderate, 2 Relatively Low, 1 Very Low. Dam hazard index: density quartiles scored 1.5/1/0.5/0 plus downstream hazard weighted by class, with high hazard upper half=2, lower half=1, none=0.",Vulnerability Index and Asset Criticality Index evaluate/rank system criticality; project matrix not found in selected pages.,"MS pp.20,26,31,34,37"
NC,North Carolina / NCDOT,"As defined by the NCDOT Resilience Policy, resiliency is ?the ability to anticipate, prepare for, and adapt to changing conditions and withstand, respond to, and recover rapidly from disruptions?.","NCDOT uses a multicriteria resilience prioritization process to rank vulnerable areas/projects using Criticality Score, Exposure Score, and Sensitivity Score. Only assets on the Criticality Map and exposed to selected hazards are scored. Low/Medium/High point process; lowest possible score = 3, highest = 12. Exposure and sensitivity are binned L/M/H; high exposure for two hazards + high sensitivity + high criticality reaches 12.",Criticality Score is one of three prioritization criteria. Only assets/projects on the Criticality Map and exposed to selected hazards are included in scoring.,"Vulnerability/prioritization uses exposure score, sensitivity score, and criticality score. Sensitivity uses pavement IRI, bridge scour/substructure/channel protection, culvert condition, and past washouts.",Multicriteria point matrix using Criticality Score + Exposure Score + Sensitivity Score. Lowest possible = 3 points; highest possible = 12 points. Only assets/projects on Criticality Map and exposed to selected hazards are scored.,Criticality Score from NCDOT Criticality Map; details not fully in extracted pages. Criticality is one of three point components in the 3-12 scoring matrix.,"Exposure: inland flooding from RIT return intervals (10/25/50/100/500-year), coastal impacts from CRIS/probabilistic SLR, geotechnical from GAM. Sensitivity: roadway IRI <95 good=L, 95-170 fair=M, >170 poor=H; bridges use NBI scour/substructure/channel protection matrices; culverts use NBI Item 62 condition 7-9=L, 5-6=M, 0-4=H; past US-74 washout areas assigned High sensitivity.",Vulnerable areas and STIP projects on Criticality Map and exposed to hazards are ranked by the 3-12 point score.,"NC pp.49,51-53"
NM,New Mexico / NMDOT,"Resilience is the ability to avoid, anticipate, absorb, adapt to, and/or rapidly recover from current and future hazards.","NMDOT assigns resilience risk to highway segments <=0.1 mile using exposure, sensitivity, and criticality. Scores are converted to High/Medium/Low by percentile and then combined through criticality-specific matrices into A-D risk classes. A = Low, B = Medium, C = High, D = Very High. Exposure/sensitivity/criticality High = 75-100%, Medium = 50-74.9%, Low = 0-49.9%. Hotspot adjusted risk = adjusted exposure score x sensitivity score x criticality score; future exposure adjustment capped at +/-25%.",Criticality is one of three resilience-risk components. Scores are converted to High/Medium/Low by percentile; any road or structure on the freight network automatically receives High criticality.,"Resilience risk combines exposure, sensitivity, and criticality. These are binned High/Medium/Low by percentile and combined in matrices to A-D risk classes.","Resilience Risk A-D matrix from Exposure x Sensitivity x Criticality. A=Low, B=Medium, C=High, D=Very High. Exposure/sensitivity/criticality ratings: High=75-100th percentile, Medium=50-74.9th, Low=0-49.9th. Low criticality matrix: high exposure always B; medium exposure A/B/B; low exposure A/A/B. Medium criticality matrix: high exposure B/C/C; medium A/B/C; low A/A/B. High criticality matrix: high exposure C/D/D; medium B/C/D; low B/B/C.",Criticality converted to High/Medium/Low by percentile; any road/structure on freight network automatically High criticality.,"Exposure, sensitivity, criticality are combined into A-D resilience risk. Only assets with some exposure to at least one hazard are scored.","Hotspots: adjusted exposure for future wildfire/flood/drought, capped at +/-25%; adjusted risk = adjusted exposure x sensitivity x criticality. High/very-high adjacent segments aggregated into corridors; hotspots ranked by length-weighted average adjusted risk.","NM pp.30-32,37"
OH,Ohio / ODOT,"Resilience is ?the ability to prepare for changing conditions and withstand, respond to, and recover rapidly from disruptions.?","ODOT quantifies average annual cost of risk (?risk value?) for flooding, landslides, and rockfalls at asset level, then rolls it up to corridor/district/state scales. Risk value is monetary annualized cost. Example likelihoods include flooding no-damage, flooding damage = flood likelihood x damage likelihood, landslide annual likelihood by susceptibility zone, rockfall likelihood by inventory tier.","Criticality is reflected indirectly through consequence/user cost, detour length, and staff input on critical sites; future improvements may monetize access to critical services.","Vulnerability assessment estimates annual closure/damage likelihood and annualized owner/user costs for flooding, landslides, and rockfalls at asset level.",Annualized risk-cost model. Risk value = average annual cost of risk from threat likelihood/closure probability and consequences. Consequence cost = owner repair/replacement cost + user disruption/detour cost. Example: flooding damage likelihood = flood likelihood x damage likelihood. Landslide likelihood by susceptibility zone; rockfall likelihood by inventory tier.,"Criticality is embedded in user cost, detour length, staff input on critical sites, and potential future valuation of critical services. No separate point matrix found.","Vulnerability assessment covers roads/bridges in/near 100-year floodplain for flooding, landslides, rockfalls. Inputs include closure likelihood, damage duration, repair/replacement assumptions, pavement/bridge condition, landslide susceptibility/history, rockfall inventory.",Priority list developed from risk-based vulnerability assessment results plus district/headquarters input; natural infrastructure/cut sheets for high-vulnerability sites.,"OH pp.14,16,27,38,51-52"
