"State","File","Status","Bytes","Url"
"California","CA_Caltrans_SCRIPT_RIP_2023_Amendment1.pdf","OK","4909803","https://dot.ca.gov/-/media/dot-media/programs/transportation-planning/documents/office-of-smart-mobility-and-climate-change/2023-script-amendment-1-with-letters-a11y.pdf"
"Colorado","CO_CDOT_Resilience_Improvement_Plan.pdf","OK","3080850","https://www.tam-portal.com/wp-content/uploads/sites/12/2025/07/cdot-resilience-improvement-plan-final-02-10-2025.pdf"
"Connecticut","CT_CTDOT_Resilience_Improvement_Plan.pdf","OK","5914198","https://portal.ct.gov/dot/-/media/dot/programs/rip/ctdot-resilience-improvement-plan.pdf"
"Iowa","IA_IowaDOT_2024_Resilience_Improvement_Plan.pdf","OK","8542058","https://iowadot.gov/media/2596/download?inline="
"Maryland","MD_MDOT_Transportation_Resilience_Improvement_Plan_2024.pdf","OK","5312152","https://www.mdot.maryland.gov/OPCP/MDOT_TRIP_Report_2024_Final.pdf"
"Michigan","MI_MDOT_Resilience_Improvement_Plan_2024.pdf","OK","6106374","https://www.michigan.gov/mdot/-/media/Project/Websites/MDOT/Programs/Planning/Resilience-Improvement-Plan/Plan.pdf"
"Minnesota","MN_MnDOT_Resilience_Improvement_Plan_2024.pdf","OK","11103051","https://www.tam-portal.com/wp-content/uploads/sites/12/2025/07/2024-Resilience-Improvement-Plan-ADA-FINAL-38633998-v2.pdf"
"Mississippi","MS_MDOT_Resilience_Improvement_Plan.pdf","OK","28006447","https://mdot.ms.gov/documents/Planning/Resilience%20Planning/MDOT%20Resilience%20Improvement%20Plan.pdf"
"New Mexico","NM_NMDOT_Resilience_Improvement_Plan_2024.pdf","OK","3953613","https://www.erm-portal.com/wp-content/uploads/sites/15/2024/08/2024_0324_NMDOT-RIP_Final-3e0d72b101139cc6da2af69c7c26a4d5.pdf"
"North Carolina","NC_NCDOT_Resilience_Strategy_Report.pdf","OK","7227682","https://www.ncdot.gov/initiatives-policies/Transportation/transportation-resilience/Documents/resilience-plan.pdf"
"Ohio","OH_ODOT_Resilience_Improvement_Plan.pdf","OK","19463010","https://dam.assets.ohio.gov/image/upload/transportation.ohio.gov/statewide-planning/resilience/Resilience-Improvement-Plan.pdf"
"Oregon","OR_ODOT_Climate_Adaptation_Resilience_Roadmap.pdf","OK","4042654","https://www.tam-portal.com/wp-content/uploads/sites/12/2025/01/ClimateAdaptation_andResilienceRoadmap.pdf"
"Rhode Island","RI_RIDOT_Approved_RIP.pdf","OK","21826604","https://www.dot.ri.gov/rhodeworks/docs/RIDOT_Approved_RIP.pdf"
"Rhode Island","RI_RIDOT_Approved_RIP_Appendices.pdf","OK","19085004","https://www.dot.ri.gov/rhodeworks/docs/RIDOT_Approved_RIP_%20Appendices.pdf"
"Texas","TX_TxDOT_Statewide_Transportation_Resilience_Plan_2025.pdf","OK","12779060","https://www.txdot.gov/content/dam/docs/division/tpp/2025-statewide-resiliency-plan.pdf"
"Utah","UT_UDOT_Resilience_Improvement_Plan_2024.pdf","OK","5302610","https://www.erm-portal.com/wp-content/uploads/sites/15/2024/09/2024-05-07-FINAL-UDOT-RIP-eee071ab388ba424f01311f4404fd110.pdf"
"Kentucky","KY_KYTC_Resiliency_Improvement_Plan_2023.pdf","OK","8219445","https://www.erm-portal.com/wp-content/uploads/sites/15/2024/08/KYTC-Resiliency-Improvement-Plan-202306-bfe355f2a24c9e7591e4146a5b7226e1.pdf"
"Vermont","VT_VTrans_RIP_Process_2023.pdf","OK","1836472","https://www.erm-portal.com/wp-content/uploads/sites/15/2023/03/2023-03-06-Vermont-RIP-Process-to-FHWA-VT-d6f8550d06fc4be24e33ab32ad4da7bd-1.pdf"
"Florida","FL_FDOT_RIP_CEP_Final.pdf","OK","235089","https://fdotwww.blob.core.windows.net/sitefinity/docs/default-source/planning/resilience-(opp)/resilience-improvement-plan/rip_cep_final.pdf?sfvrsn=b8098df8_1"
