code,state,file,def_page,risk_page,def_summary,risk_summary,url
CA,California / Caltrans,CA_Caltrans_SCRIPT_RIP_2023_Amendment1.pdf,27,29,"Divisions of Maintenance, Design, and Planning in leading the Department’s integration of climate adaptation and resilience work in the State Highway Operation and Protection (SHOPP) Program through the SHS Management Plan (SHSMP).","score/rating / ??????: ?????? consequence/severity/?????, sensitivity/???, vulnerability/????",https://dot.ca.gov/-/media/dot-media/programs/transportation-planning/documents/office-of-smart-mobility-and-climate-change/2023-script-amendment-1-with-letters-a11y.pdf
CO,Colorado / CDOT,CO_CDOT_Resilience_Improvement_Plan.pdf,6,14,"The State of Colorado defines resilience as “the ability of communities to rebound, positively adapt to, or thrive amidst changing conditions or challenges—including human-caused and natural disasters—and to maintain quality of life, healthy growth, durable systems, economic vitality, and conservation of resources for present and future g","risk-based assessment / ??????: ?????? likelihood/?????, probability/??, consequence/severity/?????, criticality/????",https://www.tam-portal.com/wp-content/uploads/sites/12/2025/07/cdot-resilience-improvement-plan-final-02-10-2025.pdf
CT,Connecticut / CTDOT,CT_CTDOT_Resilience_Improvement_Plan.pdf,6,59,"Resilience The ability to anticipate, prepare for, and adapt to changing conditions and","score/rating / ??????: ?????? exposure/???, sensitivity/???, adaptive capacity/????, vulnerability/????",https://portal.ct.gov/dot/-/media/dot/programs/rip/ctdot-resilience-improvement-plan.pdf
DE,Delaware / DelDOT,DE_DelDOT_DRIP_FHWA_Approved_2023.pdf,40,38,"However, sound management of the assets on detour and emergency evacuation routes increases a highway system’s redundancy.” (FHWA, 2013) Resilience “Resilience or resiliency is the ability to anticipate, prepare for, and adapt to changing conditions and withstand, respond to, and recover rapidly from disruptions.” (FHWA, 2014)","risk-based assessment / ??????: ?????? probability/??, consequence/severity/?????, criticality/????",https://www.erm-portal.com/wp-content/uploads/sites/15/wpforms/7075-e1233af55e4247e91b2324b29a729bf8/DelDOT-DRIP-FHWA-Approved-09.07.23-a120b9904b5093d01726203eead2d3af.pdf
FL,Florida / FDOT,FL_FDOT_RIP_CEP_Final.pdf,1,3,"1 RESILIENCE IMPROVEMENT PLAN COMMUNITY ENGAGEMENT PLAN FOR FDOT OPP RESILIENCE ACTIVITIES This Community Engagement Plan (CEP) describes community engagement activities to be conducted for the development of resilience-related plans, projects, and other activities.",?????????????????????/????????????????,https://fdotwww.blob.core.windows.net/sitefinity/docs/default-source/planning/resilience-(opp)/resilience-improvement-plan/rip_cep_final.pdf?sfvrsn=b8098df8_1
IA,Iowa / Iowa DOT,IA_IowaDOT_2024_Resilience_Improvement_Plan.pdf,8,38,"The Iowa DOT defines resiliency as the ability to anticipate, prepare for, and adapt to changing conditions and withstand, respond to, and quickly recover from disruptions.","risk-based assessment / ??????: ?????? likelihood/?????, probability/??, consequence/severity/?????, vulnerability/????",https://iowadot.gov/media/2596/download?inline=
KY,Kentucky / KYTC,KY_KYTC_Resiliency_Improvement_Plan_2023.pdf,3,53,"Transportation resilience, defined by the Federal Highway Administration (FHWA) as the ability to anticipate, prepare for, and adapt to changing conditions and withstand, respond to, and recover rapidly from disruptions, is an important component of KYTC’s mission.","score/rating / ??????: ?????? exposure/???, sensitivity/???, adaptive capacity/????, criticality/???, vulnerability/????",https://www.erm-portal.com/wp-content/uploads/sites/15/2024/08/KYTC-Resiliency-Improvement-Plan-202306-bfe355f2a24c9e7591e4146a5b7226e1.pdf
MD,Maryland / MDOT,MD_MDOT_Transportation_Resilience_Improvement_Plan_2024.pdf,4,11,• Resilience Improvements: Improve the ability of existing surface transportation infrastructure to withstand extreme weather events and other natural hazards to support rapid recovery.,"score/rating / ??????: ?????? likelihood/?????, probability/???",https://www.mdot.maryland.gov/OPCP/MDOT_TRIP_Report_2024_Final.pdf
MI,Michigan / MDOT,MI_MDOT_Resilience_Improvement_Plan_2024.pdf,16,16,"MDOT analyzed the risk associated with riverine/coastal flooding, stormwater flooding, coastal erosion, and extreme heat on transportation assets across the state and identified initiatives to improve the capacity of the transportation system to withstand and recover from climate hazard events.","risk-based assessment / ??????: ?????? likelihood/?????, consequence/severity/?????, exposure/???, sensitivity/???, criticality/???, vulnerability/????",https://www.michigan.gov/mdot/-/media/Project/Websites/MDOT/Programs/Planning/Resilience-Improvement-Plan/Plan.pdf
MN,Minnesota / MnDOT,MN_MnDOT_Resilience_Improvement_Plan_2024.pdf,1,49,APRIL 2024 RESILIENCE IMPROVEMENT PLAN 2024,"score/rating / ??????: ?????? likelihood/?????, consequence/severity/?????, vulnerability/????",https://www.tam-portal.com/wp-content/uploads/sites/12/2025/07/2024-Resilience-Improvement-Plan-ADA-FINAL-38633998-v2.pdf
MS,Mississippi / MDOT,MS_MDOT_Resilience_Improvement_Plan.pdf,30,87,• Prepare for anticipated natural hazards • Adapt to changing conditions • Withstand and recover rapidly from disruptions,"score/rating / ??????: ?????? exposure/???, sensitivity/???, adaptive capacity/????, criticality/???, vulnerability/????",https://mdot.ms.gov/documents/Planning/Resilience%20Planning/MDOT%20Resilience%20Improvement%20Plan.pdf
NC,North Carolina / NCDOT,NC_NCDOT_Resilience_Strategy_Report.pdf,13,45,"As defined by the NCDOT Resilience Policy, resiliency is “the ability to anticipate, prepare for, and adapt to changing conditions and withstand, respond to, and recover rapidly from disruptions”.19 The goal of the Resilience Policy is to “consider the resiliency of the Department’s organization and the state’s transportation system to su","score/rating / ??????: ?????? likelihood/?????, probability/??, exposure/???, sensitivity/???, vulnerability/????",https://www.ncdot.gov/initiatives-policies/Transportation/transportation-resilience/Documents/resilience-plan.pdf
NM,New Mexico / NMDOT,NM_NMDOT_Resilience_Improvement_Plan_2024.pdf,1,9,"N M D O T R E S I L I E N C E I M P R O V E M E N T P L A N New Mexico Department of Transportation Resilience Improvement Plan March 2024 Approved by FHWA July 26, 2024","score/rating / ??????: ?????? likelihood/?????, probability/??, consequence/severity/?????, exposure/???, sensitivity/???, criticality/???, vulnerability/????",https://www.erm-portal.com/wp-content/uploads/sites/15/2024/08/2024_0324_NMDOT-RIP_Final-3e0d72b101139cc6da2af69c7c26a4d5.pdf
OH,Ohio / ODOT,OH_ODOT_Resilience_Improvement_Plan.pdf,5,10,A safe transportation system is one that can withstand extreme weather events and natural disasters.,risk-based assessment / ??????: ?????? vulnerability/????,https://dam.assets.ohio.gov/image/upload/transportation.ohio.gov/statewide-planning/resilience/Resilience-Improvement-Plan.pdf
